AES,ChaCha20,TLS
6.8,2.5,0.6
2.5,2.5,6.8
2.5,1.9,6.8
2.5,2.5,5.0
2.5,3.1,0.0
2.5,2.5,5.6
2.5,3.8,5.6
1.9,2.5,5.6
1.9,2.5,5.6
1.9,2.5,5.6
1.9,3.7,8.0
1.9,2.5,6.8
3.1,3.1,5.6
2.5,2.5,5.0
2.5,1.9,5.6
3.7,3.7,7.4
3.1,1.9,6.2
4.4,1.9,6.2
3.1,2.5,8.1
3.1,3.1,5.6
1.9,4.3,5.0
2.5,2.5,5.6
1.9,2.5,6.2
1.9,1.9,5.7
2.5,1.9,5.6
2.5,1.9,5.6
2.5,1.9,6.2
3.7,2.5,7.5
2.5,3.1,5.6
3.1,1.9,5.0
3.1,2.5,6.2
3.1,3.1,5.0
2.5,2.5,6.2
1.9,3.1,5.6
1.9,2.5,5.6
3.1,2.5,6.2
1.9,2.5,9.0
1.9,2.5,6.2
3.1,4.4,5.0
2.5,1.9,8.0
3.1,1.9,6.2
2.5,1.9,5.6
2.5,1.9,5.0
2.5,3.1,0.0
2.5,1.9,5.6
2.5,2.5,6.7
2.5,1.9,6.7
2.5,2.5,5.1
1.9,2.5,5.0
6.2,3.1,0.0
